giaphong,dientich,vido,kinhdo,loai,drmd,kcdc,loaiwc,tiennghi,thuantien
2600000,26.0,21.055903,105.785095,nhatang,6.0,10.0,khepkin,3,6
1100000,10.0,21.004716,105.819713,nhacap,5.3,50.0,kkk,3,3
1100000,12.0,21.049571,105.770051,nhacap,5.27,120.03,khepkin,4,6
1800000,20.0,20.96725,105.836688,nhatang,4.3,90.4,khepkin,4,4
2700000,25.0,20.96444,105.766654,nhatang,5.2,53.92,khepkin,5,3
1200000,18.0,20.97663,105.781279,nhatang,2.5,70.65,khepkin,4,2
3500000,26.0,21.011178,105.817202,nhatang,3.8,42.6,khepkin,8,5
2800000,20.0,20.995682,105.773003,nhatang,6.6,5.2,khepkin,2,4
2300000,22.0,21.041979,105.776725,nhatang,6.0,20.75,khepkin,2,5
3000000,18.0,21.004276,105.811363,nhatang,5.3,10.0,khepkin,7,3
2000000,16.0,21.016517,105.8373,nhacap,3.2,78.19,khepkin,4,4
1500000,20.0,21.002483,105.826496,nhatang,1.6,84.32,khepkin,2,3
6000000,22.0,21.013516,105.839297,ccmn,3.25,10.15,khepkin,7,5
3500000,16.0,21.020792,105.775128,nhatang,3.7,45.0,khepkin,4,4
3300000,16.0,21.020792,105.775128,nhatang,3.7,100.24,khepkin,4,4
3000000,25.0,20.997401,105.813595,nhatang,2.7,25.0,khepkin,7,3
3200000,16.0,21.020792,105.775128,nhacap,3.7,100.24,khepkin,4,4
4500000,39.0,21.0323732,105.8095708,Ccmn,2.0,38.0,Khepkin,12,8
2600000,25.0,21.0325493,105.8268459,Nhatang,1.9,160.0,Khepkin,7,7
4200000,27.0,21.0325493,105.8268459,Ccmn,2.8,35.0,Khepkin,14,8
3500000,18.0,21.0046193,105.8328982,Nhatang,2.9,100.0,Khepkin,9,7
2600000,15.0,21.0046193,105.8328982,Nhatang,2.6,279.0,Khepkin,3,4
1600000,20.0,20.9860933,105.7983636,Nhacap,1.9,150.0,Khepkin,5,5
3500000,30.0,21.0270708,105.7731158,Nhatang,2.8,600.0,Khepkin,9,5
3700000,30.0,21.0270708,105.7731158,Nhatang,2.8,120.0,Khepkin,12,8
2800000,18.0,20.9860933,105.7983636,Nhatang,2.4,210.0,Khepkin,8,8
3600000,37.0,21.0323732,105.8095708,Nhatang,2.0,170.0,Khepkin,9,4
1800000,20.0,21.04036,105.764403,nhatang,4.3,36.24,khepkin,7,5
3500000,20.0,21.0164931,105.822814,nhatang,6.15,40.0, khepkin,8,8
3500000,25.0,20.970898,105.778978,nhatang,6.73,56.5,khepkin,7,6
3800000,30.0,21.010646,105.838657,nhatang,3.5,40.0,khepkin,7,4
2200000,20.0,21.043489,105.804274,nhatang,2.7,103.5,khepkin,5,3
4500000,40.0,20.976891,105.780777,ccmn,3.5,120.75,khepkin,7,6
1600000,10.0,21.02284367,105.8279307,nhatang,4.5,100.0,kkk,4,3
2900000,30.0,21.0268003,105.768113,ccmn,3.2,500.0,khepkin,7,2
3900000,30.0,20.9996107,105.818603,ccmn,4.9,40.0,khepkin,3,4
3500000,28.0,21.03022,105.771956,nhatang,4.0,130.0,khepkin,5,4
2500000,22.0,21.0732267,105.79437183,nhatang,3.3,105.12,khepkin,2,4
2800000,24.0,21.035002,105.791361,nhatang,6.52,75.04,khepkin,6,6
3000000,23.0,21.031671,105.786487,nhatang,7.2,46.94,khepkin,4,6
2000000,34.0,21.032674,105.785776,nhatang,2.4,149.21,kkk,8,6
