nam,thang,giaphong,dientich,vido,kinhdo,loai,drmd,kcdc,loaiwc,giuongtu,banghe,nonglanh,dieuhoa,tulanh,maygiat,tivi,bep,gacxep,thangmay,bancong,chodexe
2021,3,4300000,40.0,21.018764,105.775766,Nhatang,4.9,86.92,Khepkin,1,1,0,1,0,0,0,1,0,1,1,1
2021,3,4200000,35.0,21.008492,105.782172,Nhatang,12.9,1.0,Khepkin,1,1,1,1,0,1,0,1,0,0,1,0
2021,2,2000000,34.0,21.022228,105.896859,Nhatang,3.5,78.3,Khepkin,0,0,0,0,0,0,0,0,1,0,0,0
2021,2,3500000,36.0,20.990868,105.818217,Nhatang,2.4,81.63,Khepkin,1,0,1,1,1,0,0,1,0,0,0,1
2021,3,2500000,30.0,20.995364,105.84882,Nhatang,2.2,30.0,Khepkin,1,0,1,1,0,0,0,0,0,0,0,1
2021,3,2800000,30.0,20.995364,105.84882,Ccmn,2.2,30.0,Khepkin,1,1,0,1,1,0,0,0,0,0,1,1
2021,3,2600000,29.0,20.995364,105.84882,Nhacap,2.2,30.0,Khepkin,1,1,0,0,0,0,0,0,0,0,0,1
2021,3,4000000,35.0,20.998393,105.871403,Nhatang,3.3,109.6,Khepkin,1,1,0,1,0,0,0,0,1,0,0,1
2021,3,3500000,45.0,20.985422,105.813359,Nhatang,2.3,56.0,Khepkin,0,0,1,1,0,0,0,0,0,1,0,0
2021,3,3000000,30.0,20.970007,105.789739,Nhatang,3.6,2.0,Khepkin,1,0,1,1,0,1,0,0,0,0,1,1
2021,3,900000,15.0,21.029456,105.775094,Nhacap,3.5,5.0,KKK,0,0,0,0,0,0,0,0,0,0,0,1
2021,3,4300000,40.0,21.008818,105.781849,Ccmn,5.5,46.0,Khepkin,1,1,1,1,0,0,0,1,0,1,0,1
2021,3,3000000,20.0,21.000693,105.8194,Nhatang,3.7,73.5,Khepkin,1,1,1,1,0,0,0,1,0,0,0,1
2021,1,6600000,50.0,21.012272,105.807062,Nhatang,4.0,37.5,Khepkin,1,0,1,1,1,1,0,0,0,1,0,1
2021,3,3500000,30.0,20.96347,105.788393,Nhatang,5.2,20.0,Khepkin,1,1,1,1,1,1,0,1,1,1,1,1
2020,12,3400000,25.0,21.052268,105.811574,Nhatang,4.8,87.0,Khepkin,1,0,1,1,1,1,0,1,0,0,1,1
2021,3,2800000,25.0,20.988254,105.836774,Ccmn,3.5,25.0,KKK,1,1,1,1,0,0,0,1,0,0,0,1
2021,3,2500000,20.0,20.991376,105.817363,Nhatang,4.18,5.0,KKK,0,0,1,1,0,0,0,0,0,0,0,0
2021,3,2800000,15.0,20.990847,105.831857,Nhatang,4.1,37.0,Khepkin,1,0,1,1,0,1,0,0,0,0,1,1
2021,3,2700000,15.0,20.990847,105.831857,Nhatang,4.1,100.79,Khepkin,1,0,1,1,0,1,0,0,0,0,1,1
2021,3,3600000,28.0,21.008912,105.796743,Nhatang,3.5,23.0,Khepkin,1,1,1,1,0,0,0,1,0,1,0,1
2021,3,3000000,30.0,21.014343,105.849397,Nhatang,3.5,11.5,Khepkin,1,0,1,1,1,0,0,0,0,0,0,0
2021,3,3500000,28.0,21.028082,105.795364,Nhatang,3.5,15.0,Khepkin,1,0,0,1,0,0,0,1,0,0,0,0
2021,3,3500000,25.0,20.9874843,105.8124835,Ccmn,4.0,50.0,Khepkin,1,0,1,1,0,0,0,1,0,0,0,1
2021,3,2800000,20.0,20.9697318,105.7884985,Nhatang,5.57,5.0,Khepkin,1,0,1,1,0,1,0,1,0,0,0,1
2021,3,3500000,30.0,21.0301539,105.7742632,Nhatang,6.16,3.0,Khepkin,1,0,1,1,0,1,0,1,0,1,1,1
